neuroimaging_modality,fmri_design_type,event_design,task_type,condition_type,conditions,total_length_seconds,mri_field_strength,pulse_sequence_type,imaging_type,resolution_mm,analysis_software,preprocessing_steps,statistical_model,pain_type,pain_location,pain_modality,pain_intensity,pain_duration,pmcid
EEG,,,motor,,,,,,,,Brain Products Co.,"['band-pass filtering', 'rectification']",Wilcoxon matched-pairs test,,,,,,3309938
MRI,,,,,,1380.0,3T,gradient echo,3D,1,SPM,"['motion correction', 'slice timing correction']",GLM,chronic,spinal cord,,,,7721239
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['vocal', 'non-vocal', 'silence']",600.0,3T,EPI,EPI,2,SPM12,"['slice timing correction', 'realignment and unwarping', 'segmentation', 'normalization to standard (MNI) space', 'smoothing']",GLM,,,,,,9366353
fMRI-BOLD,resting-state,,,,,480.0,3T,gradient echo,echo planar imaging (EPI),3,SPM,"['slice timing correction', 'head motion correction']",GLM,,,,,,10873412
fMRI,resting-state,,,,,486.0,3T,gradient echo,echo planar imaging (EPI),4,SPM,"['motion correction', 'slice timing correction', 'realignment', 'coregistration', 'segmentation', 'spatial normalization', 'smoothing', 'detrending', 'bandpass filtering']",GLM,,,,,,6205982
fMRI,task-based,mixed,cognitive,neutral,"['gain', 'loss']",,3T,gradient echo,echo planar imaging (EPI),4,SPM,"['motion correction', 'slice timing correction', 'realignment', 'coregistration', 'segmentation', 'spatial normalization', 'smoothing', 'detrending', 'bandpass filtering']",GLM,,,,,,6205982
fMRI-BOLD,resting-state,,,,,,3T,echo planar imaging,EPI,3.5,SPM,"['motion correction', 'slice timing correction']",GLM,null,null,null,null,null,6306625
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['gain', 'loss', 'neutral']",480.0,3T,gradient echo,echo planar imaging (EPI),3.0,SPM12,"['motion correction', 'slice timing correction', 'spatial smoothing', 'high-pass filtering']",GLM,,,,,,6117424
MRI,,,,,,,3T,T1WI,,1,"CAT12, SPM12","['spatial normalization', 'segmentation', 'estimating total intracranial volume (TIV)', 'checking sample homogeneity', 'smoothing']",t-test,,,,,,9489844
fMRI-BOLD,task-based,block,cognitive,non-painful,"['high-calorie', 'low-calorie', 'non-food', 'fixation']",240.0,3T,gradient echo,EPI,4,FSL,['motion correction'],GLM,,,,,,7192759
fMRI-BOLD,resting-state,,,,,360.0,3T,gradient echo,EPI,2,SPM12,"['motion correction', 'slice timing correction', 'normalization to MNI space', 'smoothing']",GLM,,,,,,7708928
fMRI-BOLD,resting-state,,,,,360.0,3T,gradient echo,EPI,2,SPM12,"['motion correction', 'slice timing correction', 'normalization to MNI space', 'smoothing']",GLM,,,,,,7708928
fMRI-BOLD,task-based,block,cognitive,,"['noun generation', 'pseudoword reading', 'reading phrases with pseudowords', 'nonliteral sign reproduction']",370.0,3T,gradient echo,EPI,3.0,FSL,"['movement correction', 'co-registration', 'normalisation', 'segmentation', 'spatial smoothing']",GLM,,,,,,7311494
MRI,,,,,,300.0,1.5T or 3T,,"T2-weighted fluid-attenuated inversion-recovery (FLAIR), diffusion weighted imaging (DWI), apparent diffusion coefficient (ADC)",1,SPM8,"['normalization to MNI template', 'spatial smoothing']",voxel-based lesion symptom mapping (VLSM),,,,,,5065994
fMRI-BOLD,task-based,mixed,motor,,"['Recursion', 'Iteration', 'Repetition']",900.0,3T,gradient echo,echo planar imaging (EPI),3,SPM,"['slice time correction', 'spatial realignment', 'coregistration of functional and anatomical data', 'spatial normalization', 'lowpass filtering', 'highpass filtering']",GLM,,,,,,6865530
fMRI-BOLD,resting-state,,,,,400.0,3T,,3D,1,DPARSF,"['conversion of DICOM raw data to NIFTI format', 'removal of the first 10 time points', 'slice timing', 'realignment of head motion', 'regression of covariates', 'spatial normalization', 'linear detrending and filtering']",one-way analysis of variance,,,,,,9083329
fMRI-BOLD,resting-state,,,,,500.0,3T,gradient echo,3D,3,SPM,"['removal of the first ten volumes', 'slice timing', 'head-motion correction', 'spatial normalization to the Montreal Neurological Institute (MNI) space', 'resampling to 3 mm', 'spatial smoothing with a 6-mm Gaussian kernel', 'linear detrending']",,,,,,,8938275
fMRI-BOLD,resting-state,,,,,480.0,3T,gradient echo,echo planar imaging (EPI),3,DPARSF,"['motion correction', 'slice timing correction']",GLM,,,,,,10687154
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['25%-120', '25%-60', '50%-60', '50%-30', '75%-40', '75%-20', '100%-30', '100%-15']",960.0,3T,gradient echo,echo planar imaging (EPI),3x3x3.75,SPM5,"['realignment', 'slice timing', 'spatial normalization', 'smoothing']",GLM,,,,,,2806405
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['distractor present', 'distractor absent']",5100.0,3T,gradient echo,EPI,3.5,BrainVoyager QX,"['slice-time correction', 'motion correction', 'spatial smoothing', 'temporal linear detrending']",GLM,,,,,,3279707
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['high-calorie food', 'low-calorie food', 'positive', 'neutral', 'negative']",,3T,MPRAGE,EPI,1.5,BrainVoyager QX,"['motion correction', 'temporal Gaussian smoothing', 'spatial Gaussian smoothing', 'linear detrending', 'temporal high pass filtering']",GLM,,,,,,5868769
fMRI,task-based,event-related,pain,painful,"['noxious', 'visual', 'auditory']",,,,,,Mango,,ALE,chronic,head,,,,9622585
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['price', 'rating']",430.0,3T,gradient echo,echo planar imaging (EPI),3,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,9125177
fMRI-BOLD,task-based,block,emotional,neutral,"['high arousal/positive', 'high arousal/negative', 'low arousal/positive', 'low arousal/negative', 'neutral']",48.5,,echoplanar imaging,EPI,3.5,Brain Voyager QX,"['slice-time correction', 'motion correction', 'high-pass filtering', 'coregistration', 'spatial normalization', 'spatial smoothing']",GLM,,,,,,4913973
fMRI-BOLD,resting-state,,,,,,3T,gradient echo,echo planar imaging (EPI),3,FSL,"['motion correction', 'slice timing correction']",,,,,,,7469779
fMRI-BOLD,resting-state,,,,,600.0,3T,spin echo,echo planar imaging (EPI),4,,"['motion correction', 'slice timing correction']",GLM,,,,,,4834346
fMRI,task-based,block,cognitive,non-painful,"['inhibition', 'passive viewing', 'imaginary eating']",1140.0,1.5T,echo-planar imaging,EPI,1,SPM8,"['motion correction', 'slice timing correction']",GLM,,,,,,4320085
fMRI-BOLD,task-based,block,cognitive,neutral,"['self-appraisal', 'external attention', 'rest-fixation']",682.0,3T,gradient echo,echo planar imaging (EPI),2,"SPM12, FSL","['motion correction', 'co-registration', 'segmentation', 'spatial normalization', 'interpolation', 'smoothing']",GLM,,,,,,6969193
fMRI-BOLD,task-based,block,cognitive,neutral,"['0-back', '1-back', '2-back']",,3T,gradient echo,EPI,3,SPM8,"['motion correction', 'slice timing correction', 'normalization', 'smoothing']",ANOVA,,,,,,4990413
MRI,,,cognitive,,,,3T,fast field echo,,1x1x1,SPM12,"['normalization to MNI space', 'segmentation into gray matter, white matter, and cerebrospinal fluid', 'spatial smoothing with a Gaussian kernel']",MGLM,,,,,,8972241
fMRI,resting-state,,,,,,3T,EPI,EPI,,"AFNI, FSL","['motion correction', 'slice timing correction', 'despiking', 'volume registration', 'spatial smoothing']",GLM,,,,,,4221616
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['congruent', 'incongruent', 'view']",496.0,3T,gradient echo,echo planar imaging (EPI),2.5,AFNI,"['motion correction', 'slice timing correction']",GLM,,,,,,7759590
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['Win $0.20', 'Win $5', 'Lose $0.20', 'Lose $5', '$0-no money at stake']",342.0,3T,gradient echo,EPI,2.4,SPM12,"['motion correction', 'denoising', 'bias field correction']",GLM,,,,,,11026734
fMRI-BOLD,task-based,event-related,cognitive,non-painful,"['Standard', 'Target', 'Novel']",,3T,gradient echo,echo planar imaging (EPI),3,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,3345361
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['small', 'large']",900.0,3T,gradient echo,echo planar imaging (EPI),2.75,SPM,"['realignment', 'slice-time correction', 'spatial normalization', 'spatial smoothing']",GLM,,,,,,8857499
fMRI-BOLD,task-based,block,cognitive,neutral,"['privileged ground', 'linguistic control', 'visual control']",240.0,3T,EPI,multi-echo,3.3,SPM8,"['realignment', 'slice timing correction', 'coregistration', 'normalization', 'spatial smoothing']",GLM,,,,,,6181272
fMRI,task-based,mixed,cognitive,neutral,"['prepulse', 'pulse']",1140.0,3T,gradient echo,EPI,3,sLORETA,"['motion correction', 'ocular correction', 'epoching', 'artifacts rejection']",ANOVA,,,,,,3838345
fMRI,task-based,mixed,cognitive,neutral,"['high', 'low']",960.0,3T,gradient echo,EPI,3,FSL,"['motion correction', 'slice timing correction']",GLM,,,,,,5724021
fMRI-BOLD,resting-state,,,,,399.0,3T,gradient echo,echo planar imaging (EPI),22,FMRIB Software Library,"['motion correction', 'spatial smoothing', 'temporal band-pass filtering', 'registration to a study-specific functional brain template']",GLM,,,,,,3708629
fMRI-BOLD,task-based,event-related,cognitive,,"['smell rose', 'smell cookie', 'smell clean air', 'imagine rose', 'imagine cookie', 'imagine clean air']",540.0,3T,gradient echo,echo planar imaging (EPI),1.5,"FSL, SPM","['motion correction', 'slice timing correction']",GLM,,,,,,9934556
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['O+P+', 'O+P-', 'O-P+', 'O-P-']",420.0,3T,echo planar imaging (EPI),EPI,1.7x1.7,SPM8,"['slice acquisition delays correction', 'realignment', 'spatial smoothing']",GLM,,,,,,6974907
fMRI-BOLD,task-based,mixed,emotional,neutral,"['anger', 'fear', 'happy', 'neutral', 'blank oval']",3187.0,3T,gradient echo,echo planar imaging (EPI),2.6,AFNI,"['slice timing correction', 'motion correction']",GLM,,,,,,3960306
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['easy-easy', 'hard-easy', 'easy-hard', 'hard-hard', 'only listening']",5400.0,3T,spin echo,echo planar imaging (EPI),3.125,SPM5,"['realigning the functional images', 'coregistering them with the structural images', 'normalizing the images to the MNI template', 'smoothing them with an 8 mm FWHM Gaussian kernel']",GLM,,,,,,2944888
fMRI,task-based,mixed,cognitive,neutral,['TTCT-F'],,3T,MPRAGE,3D,1.0,SPM8,"['motion correction', 'normalization', 'VBM']",ANCOVA,,,,,,6301215
,,,,,,,,,,,,,,,,,,,3394801
fNIRS,,,pain,painful,"['low', 'high']",720.0,,,,,Homer2,"['signal-to-noise ratio', 'artifact detection']",paired t-tests,experimental,thumb,electrical,"low, high",short,5091745
SPECT,,,,,,,,,,,Statistical Parametric Mapping 12,"['spatial normalization', 'reslicing', 'smoothing', 'proportional scaling']",voxel-wise multiple regression,,,,,,9140211
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['STTT', 'SSTT', 'SSST']",4800.0,3T,gradient echo,echo planar imaging (EPI),3.2,SPM8,"['motion correction', 'slice timing correction']",GLM,,,,,,4875931
Diffusion MRI,,,,,,,1.5T,,,,GingerALE2.3.3,,ALE,,,,,,8378805
fMRI-BOLD,task-based,block,pain,painful,['painful'],270.0,3T,gradient echo,EPI,3x3x5.625,FSL,"['motion correction', 'slice timing correction', 'spatial smoothing', 'grand-mean intensity normalization', 'temporal highpass filtering']",GLM,acute,dentoalveolar,dynamic pressure,medium,short,2988799
fMRI-BOLD,resting-state,,,,,440.0,3T,gradient echo,echo planar imaging (EPI),2.5x2.5x3,SPM,"['realignment and unwarping', 'slice-time correction', 'coregistration', 'segmentation', 'nonlinear normalization', 'spatial resampling']",multiple regression,,,,,,7416059
fMRI-BOLD,task-based,event-related,motor,painful,"['Activities', 'Walking']",,3T,gradient echo,echo planar imaging (EPI),2.5mm x 2.5mm,SPM8,"['motion correction', 'spatial normalization', 'smoothing']",GLM,chronic,back,,medium,long,4646462
fMRI,resting-state,,,,,,,,,,FSL,"['motion correction', 'smoothing to 6mm full width at half maximum', 'removal of motion-related variance using ICA-AROMA', 'nuisance regression of average cerebrospinal fluid and white matter time series together with 24 motion derivatives', 'high-pass filtering (>0.007Hz)']",Group ICA,,,,,,9306840
fMRI,task-based,block,cognitive,,"['pro', 'anti']",,,,,,SPSS,,4-way repeated measures analysis of variance,,,,,,9306840
fMRI-BOLD,task-based,block,cognitive,neutral,"['friend positive', 'friend neutral']",120.0,3T,gradient echo,echo planar imaging (EPI),2,SPM8,"['motion correction', 'slice timing correction', 'spatial normalization', 'smoothing']",GLM,,,,,,6007330
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['aba', 'ada']",4500.0,3T,EPI,EPI,2.5,BrainVoyager,"['motion correction', 'slice timing correction', 'high pass temporal filtering']",GLM,,,,,,7907898
fMRI,task-based,mixed,cognitive,neutral,"['CS + E', 'CS + U']",420.0,3T,gradient echo,EPI,3.125,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,9510714
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['direct', 'inference 1', 'inference 2']",3600.0,3T,gradient echo,echo planar imaging (EPI),2,SPM12,"['realignment', 'co-registration', 'slice timing', 'normalization', 'smoothing']",GLM,,,,,,11129939
fMRI-BOLD,task-based,block,cognitive,neutral,"['0-back', '1-back', '2-back']",420.0,3T,EPI,EPI,2.3,FSL,"['slice timing correction', 'motion correction', 'spatial smoothing']",GLM,,,,,,9311233
fMRI-BOLD,resting-state,,,,,492.0,3T,gradient echo,echo planar imaging (EPI),1.8 mm,AFNI,"['motion correction', 'slice timing correction']",LMM,experimental,leg,thermal,medium,long,9250649
MRI,,,,,,,1.5T,field echo,3D,1.5,SPM12,"['segmentation', 'co-registration', 'smoothing']",multiple regression,,,,,,9491648
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['money now', 'money later', 'cocaine now', 'cocaine later']",,3T,gradient echo,EPI,3.4,SPM08,"['motion correction', 'slice timing correction', 'realignment', 'coregistration', 'normalization', 'reslicing', 'smoothing']",GLM,,,,,,4150492
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['win $1', 'lose $.50', 'neither win nor lose']",480.0,3T,gradient echo,echo planar imaging (EPI),3,FSL,"['motion correction', 'slice timing correction']",GLM,,,,,,8227823
fMRI-BOLD,resting-state,,,,,480.0,1.5T,fast field echo (FFE),echo planar imaging (EPI),3.33,SPM8,"['slice-time correction', 'realignment', 'spatial normalization']",ANCOVA,,,,,,4031192
fMRI,task-based,mixed,cognitive,neutral,"['landmark', 'control']",240.0,3T,gradient echo,echo planar imaging (EPI),3x3x2,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,7668216
fMRI-BOLD,task-based,block,cognitive,neutral,"['faces', 'food', 'places', 'clocks']",426.0,3T,gradient echo,echo planar imaging (EPI),3x3x2.5,FSL,"['motion correction', 'non-brain removal', 'high pass temporal filtering', 'undistorting of the EPI data']",GLM,,,,,,4906043
PET,,,,,,,,,,,,,GLM,,,,,,3770681
fMRI-BOLD,task-based,mixed,cognitive,neutral,['emotionally arousing stimuli'],,3T,gradient echo,EPI,3,GingerALE,['motion correction'],GLM,,,,,,3770681
fMRI-BOLD,resting-state,,,,,,3T,gradient echo,EPI,3,GingerALE,['motion correction'],GLM,,,,,,3770681
fMRI-BOLD,task-based,mixed,cognitive,neutral,['emotionally arousing stimuli'],,3T,gradient echo,EPI,3,GingerALE,['motion correction'],GLM,,,,,,3770681
fMRI-BOLD,task-based,mixed,cognitive,neutral,['emotionally arousing stimuli'],,3T,gradient echo,EPI,3,GingerALE,['motion correction'],GLM,,,,,,3770681
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['identity', 'twin', 'unrelated person']",21.5,3T,EPI,EPI,3,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,6588537
MRI,,,,,,178.0,3.0T,fast spin echo; fast gradient echo,3D,2,SPM,"['segmentation', 'spatial normalization']",GLM,,,,,,7523084
fMRI,task-based,mixed,pain,painful,"['painful', 'non-pain']",2100.0,3T,gradient echo,echo planar imaging (EPI),2.75mm x 2.75mm x 4mm,SPM5,"['realignment', 'normalisation', 'smoothing']",GLM,experimental,virtual avatar,electrical,medium,short,2769551
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['spider', 'flower', 'none']",,3T,gradient echo,echo planar imaging (EPI),3 mm,FSL,"['motion correction', 'slice timing correction', 'non-brain removal', 'high-pass temporal filtering', 'spatial filtering', 'pre-whitening']",GLM,,,,,,4882315
fMRI,resting-state,,,,,300.0,3T,,echo planar imaging (EPI),3,,"['motion correction', 'slice timing correction']",ICA,,,,,,10051904
fMRI,resting-state,,,,,450.0,3T,gradient echo,echo planar imaging (EPI),3x3x3,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,8785631
MRI,,,,,,266.0,,spoiled gradient echo,,1.5x1.5x1.5,SPM12,,,,,,,,8785631
MRI,,,,,,,"1.5T, 3T",,3D,1,FSL,"['motion correction', 'slice timing correction']",GLM,,,,,,6439281
EEG,,,,,,,,,,,EEGLAB,"['high-pass filtering', 'line noise removal', 'artifact removal', 'independent component analysis', 'dipole modeling', 'ICLabel classification']",PDC,,,,,,10658713
fMRI,task-based,block,cognitive,non-painful,"['vocal', 'non-vocal']",620.0,3T,gradient echo,echo planar imaging (EPI),3.3,SPM12b,"['motion correction', 'slice timing correction', 'normalization', 'smoothing']",GLM,,,,,,6215333
fMRI,task-based,mixed,cognitive,neutral,"['cocaine related disorders', 'cocaine addiction', 'CD']",,,,,,SDM software package (Version 5.15),['jack-knife sensitivity analysis'],random effects model,,,,,,9263080
MEG,,,cognitive,,"['0-back', '2-back']",1800.0,3T,,,,SPM8,['motion correction'],GLM,,,,,,3562167
fMRI-BOLD,task-based,event-related,cognitive,,"['ordered', 'scrambled', 'static', 'static phase-scrambled']",480.0,3T,gradient echo,echo planar imaging (EPI),3.0,SPM,"['realignment', 'slice-time correction', 'normalization', 'spatial smoothing']",GLM,,,,,,3615350
fMRI-BOLD,task-based,block,cognitive,non-painful,"['coherent motion', 'ambiguous motion', 'static', 'silence']",300.0,3T,gradient echo,3D,1,Brain Voyager QX,"['3D motion correction', 'linear trend removal', 'high pass filtering', 'slice scan time correction']",MVPA,,,,,,4932114
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['Go', 'No-go']",,,,,,GingerALE,,ALE,,,,,,8413163
fMRI-BOLD,resting-state,,,,,,3T,gradient echo,echo planar imaging (EPI),3.75,SPM12,"['discard first five time points', 'slice-time correlation', 'spatial realignment correlation', 'normalized to a symmetric MNI template and re-sample to 3x3x3mm', 'regressing out nuisance covariates including 24 motion parameters and WM and CSF signals', 'smoothing only in a mask without the resection areas with a Gaussian kernel (full-width at half-maximum=6mm)']",mixed linear models,,,,,,8187253
